Store,Dept,Date,forecast,lower_95,upper_95,method
22,33,2012-11-02,7308.967858646703,5084.142568371472,10299.869700123298,SARIMAX
22,33,2012-11-09,5512.175014019577,3287.349723744346,9132.416343217585,SARIMAX
22,33,2012-11-16,5352.149487479811,3127.32419720458,8027.282551854795,SARIMAX
22,33,2012-11-23,10958.167791426964,8733.342501151732,14578.40912062497,SARIMAX
22,31,2012-11-02,3444.379946481678,2322.7651794309204,5536.370154151173,SARIMAX
22,31,2012-11-09,2768.01754086233,1422.8514878780547,4828.528295772901,SARIMAX
22,31,2012-11-16,2595.1862024584607,1473.5714354077031,4655.696957369031,SARIMAX
22,31,2012-11-23,3344.803972840845,2223.189205790088,5436.794180510339,SARIMAX
22,32,2012-11-02,5305.234918999977,3587.8123041287745,6772.954741690715,SARIMAX
22,32,2012-11-09,5715.431043842546,3998.008428971344,8505.285625075998,SARIMAX
22,32,2012-11-16,5095.222949450454,3377.800334579252,6562.942772141192,SARIMAX
22,32,2012-11-23,7220.877837037204,5503.4552221660015,8630.575086944724,SARIMAX
22,38,2012-11-02,67884.49602889988,50880.71558390839,87492.58478160443,SARIMAX
22,38,2012-11-09,89575.9436134887,72572.1631684972,107912.92850542112,SARIMAX
22,38,2012-11-16,80028.71223919542,63024.93179420392,98365.69713112785,SARIMAX
22,38,2012-11-23,78282.93982743887,60521.54606031753,96619.9247193713,SARIMAX
22,36,2012-11-02,2883.836668622212,1307.2448290601849,4679.217485029322,SARIMAX
22,36,2012-11-09,2735.279540303351,1158.6877007413236,4530.660356710461,SARIMAX
22,36,2012-11-16,2889.963213398384,1313.3713738363565,4685.344029805494,SARIMAX
22,36,2012-11-23,2787.995537162893,1661.4115433101392,4729.093377645717,SARIMAX
22,80,2012-11-02,1584.9639931703375,1142.2430894872143,2104.6294735813835,SARIMAX
22,80,2012-11-09,1604.078941417959,1161.3580377348355,2123.7444218290048,SARIMAX
22,80,2012-11-16,1601.2793414865184,1115.7079240085347,2120.9448218975645,SARIMAX
22,80,2012-11-23,1642.5392676108115,1199.8183639276883,2162.204748021858,SARIMAX
22,56,2012-11-02,348.4327583456879,0.0,5261.842156378091,SARIMAX
22,56,2012-11-09,313.5970834177059,0.0,5227.006481450109,SARIMAX
22,56,2012-11-16,942.9073026388158,0.0,9093.107931600189,SARIMAX
