Store,Dept,Date,forecast,method,lower_95,upper_95
26,48,2012-11-02,629.7491416712758,LightGBM,0.0,2841.330672498486
26,48,2012-11-09,677.3478963129085,LightGBM,0.0,3183.5566986892977
26,48,2012-11-16,681.9124854254189,LightGBM,0.0,3177.50714457262
26,48,2012-11-23,866.5610482197939,LightGBM,0.0,3362.1557073669946
10,18,2012-11-02,23507.704567616503,LightGBM,22272.239853207655,25590.13305085064
10,18,2012-11-09,24172.103241524965,LightGBM,22942.900270711685,26155.40492201792
10,18,2012-11-16,20500.07497088072,LightGBM,19270.87200006744,22711.65650170793
10,18,2012-11-23,28888.665235665398,LightGBM,27700.78179590833,31107.34709470057
13,47,2012-11-02,0.0,LightGBM,0.0,2495.5946591472007
13,47,2012-11-09,0.0,LightGBM,0.0,2495.5946591472007
13,47,2012-11-16,0.0,LightGBM,0.0,1983.5078247085817
13,47,2012-11-23,0.0,LightGBM,0.0,2082.4284832341355
15,48,2012-11-02,11.340072752098392,LightGBM,0.0,2931.5004610691517
15,48,2012-11-09,11.340072752098392,LightGBM,0.0,2222.9216035793083
15,48,2012-11-16,11.340072752098392,LightGBM,0.0,2002.8875218702724
15,48,2012-11-23,11.340072752098392,LightGBM,0.0,1994.6417532450507
15,94,2012-11-02,153.10109980222464,LightGBM,0.0,3073.261488119278
15,94,2012-11-09,153.10109980222464,LightGBM,0.0,2144.6485489203988
15,94,2012-11-16,153.10109980222464,LightGBM,0.0,2235.5295830363602
15,94,2012-11-23,153.10109980222464,LightGBM,0.0,2235.5295830363602
16,48,2012-11-02,928.9265307660128,LightGBM,0.0,2892.7168701648507
16,48,2012-11-09,1139.267764092134,LightGBM,0.0,3122.5694445850863
16,48,2012-11-16,1325.317114244884,LightGBM,89.85239983603492,3090.4004959670015
16,48,2012-11-23,1336.8813228054416,LightGBM,101.41660839659266,3832.4759819526425
16,94,2012-11-02,1201.9185683933945,LightGBM,0.0,4130.021001306575
16,94,2012-11-09,1036.2639865660708,LightGBM,0.0,3027.8114356842448
16,94,2012-11-16,1036.2639865660708,LightGBM,0.0,3247.8455173932807
16,94,2012-11-23,1036.2639865660708,LightGBM,0.0,3956.424374883124
17,77,2012-11-02,0.0,LightGBM,0.0,2920.1603883170533
17,77,2012-11-09,0.0,LightGBM,0.0,2082.4284832341355
17,77,2012-11-16,0.0,LightGBM,0.0,2082.4284832341355
17,77,2012-11-23,45.81050453924151,LightGBM,0.0,2009.6008439380796
19,77,2012-11-02,0.0,LightGBM,0.0,2506.208802376389
19,77,2012-11-09,0.0,LightGBM,0.0,2082.4284832341355
19,77,2012-11-16,0.0,LightGBM,0.0,3237.8421721639115
19,77,2012-11-23,12.577266234926247,LightGBM,0.0,2932.7376545519796
19,99,2012-11-02,0.0,LightGBM,0.0,1991.547449118174
